time,temperature,setpoint,power
2024-08-21 16:54:45.560709,42.99,43.0,17.9
2024-08-21 16:55:03.424144,43.00,43.0,16.7
2024-08-21 16:55:21.287657,43.00,43.0,16.7
2024-08-21 16:55:39.151205,43.00,43.0,16.7
2024-08-21 16:55:57.014504,43.00,43.0,16.7
2024-08-21 16:56:14.878143,43.00,43.0,16.7
2024-08-21 16:56:32.741449,43.00,43.0,16.7
2024-08-21 16:56:50.604954,43.00,43.0,16.7
2024-08-21 16:57:08.468470,43.00,43.0,16.7
2024-08-21 16:57:26.331921,43.00,43.0,16.7
2024-08-21 16:57:44.195191,43.00,43.0,16.7
2024-08-21 16:58:02.058858,43.00,43.0,16.7
2024-08-21 16:58:19.922181,43.00,43.0,16.7
2024-08-21 16:58:37.785507,43.00,43.0,16.7
2024-08-21 16:58:55.649238,43.00,43.0,16.7
2024-08-21 16:59:13.512745,43.00,43.0,16.7
2024-08-21 16:59:31.376184,43.00,43.0,16.7
2024-08-21 16:59:49.239501,42.99,43.0,17.9
2024-08-21 17:00:07.102723,43.00,43.0,16.7
2024-08-21 17:00:24.966268,43.00,43.0,16.7
2024-08-21 17:00:42.830032,43.00,43.0,16.7
2024-08-21 17:01:00.693405,43.00,43.0,16.7
2024-08-21 17:01:18.557123,43.00,43.0,16.7
2024-08-21 17:01:36.420636,43.00,43.0,16.7
2024-08-21 17:01:54.284170,43.00,43.0,16.7
2024-08-21 17:02:12.147663,43.00,43.0,16.7
2024-08-21 17:02:30.011391,43.00,43.0,16.7
2024-08-21 17:02:47.875130,43.00,43.0,16.7
2024-08-21 17:03:05.738598,43.00,43.0,16.7
2024-08-21 17:03:23.602395,43.00,43.0,16.7
2024-08-21 17:03:41.466020,43.00,43.0,16.7
2024-08-21 17:03:59.329046,43.00,43.0,16.7
2024-08-21 17:04:17.192530,43.00,43.0,16.7
2024-08-21 17:04:35.056112,43.00,43.0,16.7
2024-08-21 17:04:52.919319,43.00,43.0,16.7
2024-08-21 17:05:10.783184,43.00,43.0,16.7
2024-08-21 17:05:28.646892,43.00,43.0,16.7
2024-08-21 17:05:46.510120,43.00,43.0,16.7
2024-08-21 17:06:04.373588,43.00,43.0,16.7
2024-08-21 17:06:22.237097,43.00,43.0,16.7
2024-08-21 17:06:40.100793,43.00,43.0,16.7
2024-08-21 17:06:57.964129,43.00,43.0,16.7
2024-08-21 17:07:15.827412,43.00,43.0,16.7
2024-08-21 17:07:33.690963,43.00,43.0,16.7
2024-08-21 17:07:51.554611,43.00,43.0,16.7
2024-08-21 17:08:09.417703,43.00,43.0,16.7
2024-08-21 17:08:27.281392,43.00,43.0,16.7
2024-08-21 17:08:45.144956,43.00,43.0,16.7
2024-08-21 17:09:03.008200,43.00,43.0,16.7
2024-08-21 17:09:20.871426,43.00,43.0,16.7
2024-08-21 17:09:38.734855,43.00,43.0,16.7
2024-08-21 17:09:56.597974,43.00,43.0,16.7
2024-08-21 17:10:14.461203,43.00,43.0,16.7
2024-08-21 17:10:32.324417,43.00,43.0,16.7
2024-08-21 17:10:50.187708,43.00,43.0,16.7
2024-08-21 17:11:08.050701,43.00,43.0,16.7
2024-08-21 17:11:25.914168,43.00,43.0,16.7
2024-08-21 17:11:43.777108,43.00,43.0,16.7
2024-08-21 17:12:01.640285,43.00,43.0,16.7
2024-08-21 17:12:19.503553,43.00,43.0,16.7
2024-08-21 17:12:37.366874,43.00,43.0,16.7
2024-08-21 17:12:55.230105,43.00,43.0,16.7
2024-08-21 17:13:13.093599,43.00,43.0,16.7
2024-08-21 17:13:30.957204,43.00,43.0,16.7
2024-08-21 17:13:48.820526,43.00,43.0,16.7
2024-08-21 17:14:06.684044,43.00,43.0,16.7
2024-08-21 17:14:24.547446,43.00,43.0,16.7
2024-08-21 17:14:42.410876,43.00,43.0,16.7
2024-08-21 17:15:00.274581,43.00,43.0,16.7
2024-08-21 17:15:18.138095,43.00,43.0,16.7
2024-08-21 17:15:36.001281,43.00,43.0,16.7
2024-08-21 17:15:53.864710,43.00,43.0,16.7
2024-08-21 17:16:11.727945,43.00,43.0,16.7
2024-08-21 17:16:29.591418,43.00,43.0,16.7
2024-08-21 17:16:47.454940,43.00,43.0,16.7
2024-08-21 17:17:05.318097,43.00,43.0,16.7
2024-08-21 17:17:23.181949,43.00,43.0,16.7
2024-08-21 17:17:41.045291,43.00,43.0,16.7
2024-08-21 17:17:58.908958,43.00,43.0,16.7
2024-08-21 17:18:16.772402,43.00,43.0,16.7
2024-08-21 17:18:34.635878,43.00,43.0,16.7
2024-08-21 17:18:52.499092,43.00,43.0,16.7
2024-08-21 17:19:10.362358,43.00,43.0,16.7
2024-08-21 17:19:28.225985,43.00,43.0,16.7
2024-08-21 17:19:46.089381,43.00,43.0,16.7
2024-08-21 17:20:03.952989,43.00,43.0,16.7
2024-08-21 17:20:21.816524,43.00,43.0,16.7
2024-08-21 17:20:39.679619,43.00,43.0,16.7
2024-08-21 17:20:57.542885,43.00,43.0,16.7
